algo,0,1,2,3,4,5,6,7,8,9
603.bwaves_s,23.841284294426927,6.4134341637021155,5.342441372182522,,,,,,,
607.cactuBSSN_s,30.012633189933545,6.862338707834663,5.293404424779535,4.161817027558275,4.283598354564377,3.8277901428254624,,,,
619.lbm_s,28.653688160317213,10.01237371944828,7.867847348470999,6.267014497626011,,,,,,
621.wrf_s,17.51182495694883,6.962641616943423,6.0391877713594635,5.827455568482442,4.040282098428373,4.225488137236813,3.9174713907594314,3.813635357695613,3.246255931046923,
627.cam4_s,31.51680450957962,9.056153458971732,8.752727774604935,6.195200287827301,5.038694697567067,4.487277296315969,3.996975979999992,,,
628.pop2_s,11.922494073171515,6.463462030581936,5.900059772585315,4.444342331739824,4.52477450869875,,,,,
638.imagick_s,44.82877698868454,10.016497606353235,8.386427163167047,6.666905142649261,4.618989063278618,,,,,
644.nab_s,36.04321232764836,10.250242306303196,13.990313430158889,5.27334088376475,4.308529009868632,5.702416799174414,,,,
649.fotonik3d_s,17.742200426500297,4.856327687695716,,,,,,,,
654.roms_s,39.12292764212656,8.725694277059773,7.802308286748813,7.305415374764883,6.290331665490097,6.518377981684205,6.350043797966475,6.105069289342802,6.158728216343282,
416.gamess,7.084072641244161,2.3172704333701075,2.449836518880715,2.1750019404960854,1.7942549093616564,1.7491495482287815,1.7793548864840685,,,
433.milc,11.175926679516653,4.8287097219281705,4.64565325460557,3.9765100746791866,3.622228238423175,3.3424718923501406,3.86408318454833,3.067661220635473,,
434.zeusmp,26.53268779168541,7.693997396087761,7.079713618898932,6.5965318636566295,4.634224647660959,4.124770487124215,3.061216402599456,,,
435.gromacs,8.287850086857462,2.698011348473913,2.6178742851503913,2.3017700781437416,2.3231728275598322,2.0682184715833047,2.5239517499876216,2.088359242505995,1.5405222069357114,1.2206983618942355
437.leslie3d,30.32671739552135,10.536117227860094,9.373593741334682,6.967526815875099,7.380437225540222,6.350549406312378,6.5171533021178085,5.0849407221659195,4.632969019208897,
447.dealII,9.110381940725166,4.339492520257457,3.1704363545081162,2.3889301490331807,2.6316641689762323,3.6310078297384862,1.7187438024149877,,,
450.soplex,9.421751174878441,3.6002104844004754,3.541876071905407,2.4640088030412306,2.001839599524112,1.8042734288216573,1.6577316998836247,,,
453.povray,8.738729691089107,3.210521778106983,2.346393540103071,1.8476276289903235,2.0665802310727184,1.9355244534729699,1.492435186777768,1.6222882618275987,,
454.calculix,8.82316868982501,3.143256723726056,2.5330471068242177,2.648292943193203,1.9053320538860654,2.683557897411327,2.5634725714594984,2.4198751458476515,1.6761607822072018,
