algo,0,1,2,3,4,5,6,7,8,9
603.bwaves_s,0.36329925730029883,0.11875791171385103,0.11540714307372515,,,,,,,
607.cactuBSSN_s,0.6393568697084352,0.25301648261669984,0.23372728359663814,0.17568226158267083,0.16798998261850845,0.1299731732258286,,,,
619.lbm_s,0.5546894440505334,0.3800301409381083,0.3728504346569086,0.3661422639422808,,,,,,
621.wrf_s,0.5627179915305661,0.367023422023795,0.3142272090277484,0.20148335518423863,0.1593358013547173,0.15917885360818573,0.1590118582630873,0.1519981003728764,0.1487730964489086,
627.cam4_s,0.6212558532994558,0.42558774538211996,0.28592384591617725,0.18343536536509908,0.1616634219798389,0.1532511693914495,0.13573785854905016,,,
628.pop2_s,0.5394432594478847,0.3833133543887013,0.333044463162941,0.24197331027107083,0.18346102785710908,,,,,
638.imagick_s,0.5682899486190792,0.45524064922948204,0.3818974713372822,0.15738485058010118,0.1399859407021709,,,,,
644.nab_s,0.5888065242283995,0.42669341120673077,0.424388294595466,0.2074199532247094,0.18841464344448425,0.17360508602680216,,,,
649.fotonik3d_s,0.38387978672330997,0.132000664733035,,,,,,,,
654.roms_s,0.39406755877734717,0.1479946940655606,0.1398090163690026,0.13283022595622196,0.11689352767788388,0.11388610774215775,0.11177571801757975,0.09555784700270976,0.09132465009207946,
416.gamess,0.33689704265827164,0.16823058844533043,0.16466585010032658,0.15190414107981817,0.1463529203051143,0.1354499561562221,0.13295059723929945,,,
433.milc,0.26108271195929345,0.2121749792081143,0.1936226550583997,0.18978022172929052,0.17794986013086364,0.16703121042087388,0.16335781333348534,0.15986944810960454,,
434.zeusmp,0.33803578073077195,0.2560343060852823,0.2377478037824448,0.1981711445360103,0.1718503765359159,0.1541239935804291,0.15000268375106166,,,
435.gromacs,0.3677379251830003,0.18439782063212168,0.16768863879756585,0.15899035554819801,0.15296309354297752,0.14539721658810578,0.1433519000491787,0.1395571910192985,0.1302538189380096,0.12421025998512289
437.leslie3d,0.38779638006558337,0.26184994884037516,0.23047045177612613,0.19539198268040384,0.1788810074626198,0.17676206639127007,0.16614733374649607,0.15893017876319732,0.15777031749018902,
447.dealII,0.37535272984473345,0.26167867892356844,0.24066440195223854,0.22084362570780697,0.20703037467450844,0.19716048476099418,0.170770194794915,,,
450.soplex,0.27054243532727357,0.1498033740067729,0.1387415576761375,0.12176661331605387,0.11015110847930883,0.10224564631579743,0.09557025341840256,,,
453.povray,0.342317600832947,0.16013038591369527,0.1427961504244391,0.12349567841509967,0.11649843216531573,0.11609863454043552,0.10616946785487597,0.10199573530588786,,
454.calculix,0.3302779296548889,0.21677722304838606,0.2048131818346554,0.20134331652538393,0.19019819615353725,0.1831877012623313,0.17198902970236551,0.14254411522863075,0.1202600417801191,
