algo,nnmodel_train_rmse,autokerasmodel_train_rmse,nnmodel_test_rmse,autokerasmodel_test_rmse,nnmodel_train_medae,autokerasmodel_train_medae,nnmodel_test_medae,autokerasmodel_test_medae,nnmodel_train_medape,autokerasmodel_train_medape,nnmodel_test_medape,autokerasmodel_test_medape
600.perlbench_s,0.3247617469544264,0.4526506410535802,0.4748679391795144,0.6713403816904487,0.0631625055278561,0.17025561376032303,0.07855219541561925,0.19401843803717578,1.4804581251670939,3.9892713677282607,1.875132727297871,4.588036649002852
602.gcc_s,0.3571625924974801,0.4702364373292071,0.37964205063986306,0.449344831392034,0.07781741095805624,0.15091162468926822,0.08598965362880046,0.17160013834622195,1.7505029865958863,3.3840393119730185,2.0043174653012845,3.8254832193665376
605.mcf_s,0.25268114837694156,0.37123957007148134,0.40570798163238336,0.42331772091063924,0.08107456527666951,0.13617670286222572,0.09066130417521417,0.14165015465583203,2.550514641003277,4.248971309040792,2.769522894223381,4.552247385658964
620.omnetpp_s,0.29024697205279054,0.4237454316667078,0.3679143080819346,0.4938087140124513,0.10416481865415539,0.21130529558905548,0.12083377727308542,0.21946611435353702,3.738783694578045,7.525306953301298,4.3938765611853015,8.004593964653777
623.xalancbmk_s,0.20853819460769055,0.4242177476588779,0.4209573722234659,0.5399126916125723,0.04811880153724579,0.17401110446066403,0.06581035081800718,0.1770890021968236,1.337958667846717,4.583072899869147,1.872802724810514,4.711298414205438
625.x264_s,0.5660465809159698,0.7145890054618871,1.0273867230782328,0.510958405677904,0.04493462282388094,0.13880564833818587,0.056909959604408034,0.14329251904905094,2.124228518977674,6.975000853271286,2.72316278402624,7.2953032593992795
631.deepsjeng_s,0.4917310383154815,0.621048670422664,0.7877475814290236,0.6237963361442169,0.0685625101301992,0.15491442891117785,0.07278246172731742,0.14180280807840417,1.7041606646409808,3.989494338012445,1.8342551114600225,3.9185739542010767
641.leela_s,0.1994558957002054,0.4321254928566344,0.3806092239494021,0.49584848241953083,0.056003414957178144,0.1654575580383214,0.07136420618842142,0.17353539939654078,1.2103461394671813,3.5342872256046354,1.4975839238948312,3.736593136476267
648.exchange2_s,0.22879218229580767,0.3987148631682238,0.36559297050405626,0.4561009388258155,0.06670866060660297,0.15033890193253763,0.07804663830791789,0.15853842513127295,1.8957743426377442,4.473356620454691,2.2267209468068936,4.687922514309351
657.xz_s,0.17349582617053116,0.2736622127522024,0.336439787127968,0.3476158827199736,0.04828978997485219,0.09965833650992428,0.05533065234893339,0.11564115406983133,2.11741823580027,4.459262151874467,2.3049301185362534,5.405645395414611
401.bzip2,0.11409493110187596,0.5533237481720074,0.17327530176704986,9903.650509595449,0.035048225361974966,0.26537511441521,0.040359308011140516,0.30715671003462663,1.2321300290271735,9.911998326889242,1.4282628731873188,9.64840117302279
456.hmmer,0.16331744103469995,0.3249248802005262,0.29424118417767803,69712.90724715331,0.017704940528732394,0.10958243106787291,0.01942726832754893,0.11852470017314243,1.5915287093886215,10.840481221584282,1.8781488228652026,13.137245789414257
458.sjeng,0.11344938423852154,0.4349899789000066,0.20728306638689886,130652.59241382557,0.042102687510632064,0.19981815078767473,0.05296702224177863,0.2431355713818255,1.3690196129081689,7.168807557228034,1.8655654131355934,8.66587333537828
462.libquantum,0.11238956051583904,0.14950714839986481,0.18035593180522902,4533.76683923536,0.01928202123878714,0.06027564038717548,0.022465802001691904,0.06926992712447189,19.26843545310649,54.79839699890893,21.491149422810253,59.19613773035341
473.astar,0.10744972727458348,0.2829012276342019,0.18525289151122676,19618.84297142432,0.03522507416919329,0.1307473899506842,0.04557794903545242,0.15991773418717636,1.7361031202144224,5.900157670037057,2.2258286827775455,7.493439339831134
